Training run started: 2025-11-10 00:10:02.594846
Product 292: RMSE=1.4816, samples=82
Product 329: RMSE=1.5036, samples=81
Product 255: RMSE=1.8232, samples=91
Product 356: RMSE=1.7812, samples=102
Product 271: RMSE=1.6869, samples=92
Product 262: RMSE=1.5896, samples=80
Product 225: RMSE=2.1599, samples=90
Product 369: RMSE=1.8291, samples=102
Product 308: RMSE=1.2822, samples=95
Product 197: RMSE=1.6555, samples=101
Product 202: RMSE=1.2956, samples=76
Product 264: RMSE=1.9224, samples=84
Product 366: RMSE=1.0761, samples=85
Product 330: RMSE=1.5986, samples=90
Product 215: RMSE=1.6144, samples=87
Product 196: RMSE=1.7454, samples=88
Product 311: RMSE=1.7748, samples=86
Product 280: RMSE=1.5881, samples=75
Product 324: RMSE=1.6934, samples=95
Product 253: RMSE=1.3026, samples=96
Product 291: RMSE=1.6702, samples=78
Product 370: RMSE=1.7540, samples=71
Product 283: RMSE=1.0525, samples=96
Product 275: RMSE=1.9878, samples=72
Product 210: RMSE=1.3582, samples=79
Product 375: RMSE=2.1839, samples=81
Product 208: RMSE=1.6478, samples=101
Product 266: RMSE=1.8090, samples=85
Product 349: RMSE=1.9760, samples=72
Product 348: RMSE=1.8122, samples=71
Product 355: RMSE=1.8024, samples=96
Product 367: RMSE=1.5754, samples=80

Average RMSE: 1.6644
